	1	2	3	4
1	0.40488997555012224	0.17603911980440098	0.06797066014669927	0.014180929095354523
2	0.33398533007334963	0.13251833740831295	0.04743276283618582	0.008312958435207823
3	0.3026894865525672	0.11051344743276284	0.03667481662591687	0.0058679706601467
4	0.2709046454767726	0.08850855745721271	0.02689486552567237	0.00293398533007335
5	0.24449877750611246	0.07041564792176039	0.021515892420537898	0.0019559902200488996
6	0.2019559902200489	0.05867970660146699	0.01613691931540342	0.0004889975550122249
7	0.16968215158924205	0.05036674816625917	0.0117359413202934	0.0
8	0.14621026894865527	0.04156479217603912	0.009779951100244499	0.0
9	0.12273838630806846	0.02982885085574572	0.0034229828850855745	0.0
10	0.08508557457212713	0.022004889975550123	0.0004889975550122249	0.0
Image count:	2045
